name,bucket,event_year,t_plus,year,actual_count,proj_count,dev_log_count,pct_deviation,actual_rank,proj_rank,rank_deviation
Isis,sensitive,2014,1,2015,117,479.19355424950504,-1.4035046361774723,-75.4265756056592,1778,580.1999999999971,-1197.800000000003
Isis,sensitive,2014,3,2017,52,480.6880955385963,-2.2070048863441607,-88.997029303633,3091,564.5999999999949,-2526.400000000005
Isis,sensitive,2014,5,2019,67,482.18728839713293,-1.960896633973321,-85.92678209197618,2592,548.9999999999909,-2043.000000000009
Monica,sensitive,1998,1,1999,2134,4506.561859181321,-0.7472897529326303,-52.635148075643556,151,76.400000000001,-74.599999999999
Monica,sensitive,1998,3,2001,1796,4746.3555889102545,-0.9714691370958963,-62.147347795101695,182,72.40000000000191,-109.59999999999809
Monica,sensitive,1998,5,2003,1613,4998.905889622278,-1.130703520333661,-67.71939241196534,207,68.40000000000282,-138.59999999999718
Katrina,sensitive,2005,1,2006,855,1030.6784629184572,-0.1866719544132236,-17.02841236226743,379,309.59999999999854,-69.40000000000146
Katrina,sensitive,2005,3,2008,420,951.424694538853,-0.8163782093414031,-55.79703020994846,710,332.2000000000007,-377.7999999999993
Katrina,sensitive,2005,5,2010,314,878.259218227121,-1.0265071166669841,-64.17438754464868,854,354.7999999999993,-499.2000000000007
Ellen,sensitive,1997,1,1998,622,1146.4482780153432,-0.6107493485064275,-45.705613757375,426,241.399999999996,-184.600000000004
Ellen,sensitive,1997,3,2000,632,1083.2814065701402,-0.5382023263220814,-41.62032142538155,449,251.39999999999418,-197.60000000000582
Ellen,sensitive,1997,5,2002,590,1023.591862795929,-0.5502336122325353,-42.31849564105787,476,261.39999999999054,-214.60000000000946
Donald,sensitive,2015,1,2016,625,694.7898810035606,-0.10569734854499213,-10.030309854880393,489,447.0,-42.0
Donald,sensitive,2015,3,2018,540,670.7426070450094,-0.21645596307312776,-19.463199992649784,525,471.6000000000022,-53.39999999999782
Donald,sensitive,2015,5,2020,449,647.5264336825228,-0.36545518142976174,-30.611926264166534,608,496.2000000000007,-111.79999999999927
Hillary,sensitive,2016,1,2017,63,142.8705292390515,-0.8100307092746464,-55.515559483583154,2711,1552.800000000032,-1158.199999999968
Hillary,sensitive,2016,3,2019,45,135.91270656320032,-1.0907021478838193,-66.40194971328981,3446,1609.8000000000393,-1836.1999999999607
Hillary,sensitive,2016,5,2021,60,129.29137598649208,-0.7588994319381923,-53.181859092251706,2817,1666.8000000000393,-1150.1999999999607
Karen,sensitive,2018,1,2019,439,498.46437171500935,-0.1267615407344671,-11.90562832556542,661,613.400000000016,-47.59999999998399
Karen,sensitive,2018,3,2021,229,443.6114578494574,-0.6591214634162101,-48.26943931843597,1088,672.2000000000189,-415.7999999999811
Karen,sensitive,2018,5,2023,224,394.7826817000957,-0.5647648748276177,-43.1506201753179,1092,731.0000000000218,-360.9999999999782
Alexa,brand,2014,1,2015,6053,3534.136134170854,0.5379674016188467,71.25224518178099,32,69.39999999999782,37.39999999999782
Alexa,brand,2014,3,2017,3895,3087.4383873576066,0.23228479887593245,26.147894545933426,66,77.59999999999673,11.599999999996726
Alexa,brand,2014,5,2019,2002,2697.185108150443,-0.2979333081443789,-25.764915314760582,139,85.79999999999745,-53.20000000000255
Miley,celebrity,2013,1,2014,355,496.22835205611375,-0.334118650602262,-28.403117294521387,789,458.40000000000873,-330.59999999999127
Miley,celebrity,2013,3,2016,254,291.4143818310478,-0.13690836697633202,-12.794986893861237,1037,568.6000000000204,-468.3999999999796
Miley,celebrity,2013,5,2018,377,170.9655975932251,0.7875997528044785,119.81140721770274,738,678.800000000032,-59.199999999967986
Ariana,celebrity,2014,1,2015,4970,4333.956558847342,0.13690943795738342,14.672429412344211,46,49.19999999999891,3.1999999999989086
Ariana,celebrity,2014,3,2017,3888,4683.268868058393,-0.18605779029328495,-16.97743853862149,67,35.99999999999636,-31.000000000003638
Ariana,celebrity,2014,5,2019,3683,5060.728884797824,-0.3177089833855913,-27.2185436271713,69,22.799999999995634,-46.200000000004366
Khaleesi,celebrity,2012,1,2013,243,28.000000000019387,2.1298723953060597,741.3793103442654,1026,,
Khaleesi,celebrity,2012,3,2015,342,110.52113917922348,1.1235162851841674,207.56500742766906,822,,
Khaleesi,celebrity,2012,5,2017,470,427.8608442697731,0.09372560004001596,9.825834252128507,629,,
Adele,celebrity,2011,1,2012,564,455.3030362244095,0.21366858922599707,23.82122299140996,536,447.0000000000582,-88.99999999994179
Adele,celebrity,2011,3,2014,366,729.525802668173,-0.6884027044400627,-49.76221255162117,764,-15.39999999984866,-779.3999999998487
Adele,celebrity,2011,5,2016,443,1168.547221906914,-0.9685474006365409,-62.03659059819147,663,-477.7999999996973,-1140.7999999996973
