name,sex,bucket,event_year,year,t,count,rank,log_count,proj_log_count,dev_log_count,proj_rank,dev_rank
Isis,F,sensitive,2014,2009,-5,495,609.0,6.206575926724928,6.164866642883702,0.041709283841226075,627.0000000000073,18.000000000007276
Isis,F,sensitive,2014,2010,-4,471,625.0,6.156978985585555,6.166420412510274,-0.009441426924719387,619.2000000000044,-5.799999999995634
Isis,F,sensitive,2014,2011,-3,449,633.0,6.1092475827643655,6.167974182136847,-0.05872659937248148,611.4000000000033,-21.599999999996726
Isis,F,sensitive,2014,2012,-2,467,615.0,6.148468295917647,6.16952795176342,-0.021059655845772518,603.6000000000022,-11.399999999997817
Isis,F,sensitive,2014,2013,-1,501,575.0,6.218600119691729,6.171081721389992,0.04751839830173665,595.8000000000011,20.80000000000109
Isis,F,sensitive,2014,2014,0,401,703.0,5.996452088619021,6.172635491016564,-0.17618340239754282,587.9999999999982,-115.00000000000182
Isis,F,sensitive,2014,2015,1,117,1778.0,4.770684624465665,6.1741892606431374,-1.4035046361774723,580.1999999999971,-1197.800000000003
Isis,F,sensitive,2014,2016,2,53,3100.0,3.9889840465642745,6.175743030269709,-2.1867589837054346,572.399999999996,-2527.600000000004
Isis,F,sensitive,2014,2017,3,52,3091.0,3.970291913552122,6.177296799896283,-2.2070048863441607,564.5999999999949,-2526.400000000005
Isis,F,sensitive,2014,2018,4,53,3046.0,3.9889840465642745,6.178850569522854,-2.18986652295858,556.799999999992,-2489.200000000008
Isis,F,sensitive,2014,2019,5,67,2592.0,4.219507705176107,6.180404339149428,-1.960896633973321,548.9999999999909,-2043.000000000009
Monica,F,sensitive,1998,1993,-5,3901,86.0,8.269244521183056,8.258017642743049,0.011226878440007582,88.39999999999782,2.399999999997817
Monica,F,sensitive,1998,1994,-4,3912,88.0,8.272059622210412,8.283933315385099,-0.011873693174687006,86.39999999999827,-1.600000000001728
Monica,F,sensitive,1998,1995,-3,3970,87.0,8.286773231131251,8.309848988027149,-0.02307575689589747,84.39999999999873,-2.6000000000012733
Monica,F,sensitive,1998,1996,-2,4326,82.0,8.372629740224884,8.335764660669199,0.0368650795556853,82.39999999999918,0.39999999999918145
Monica,F,sensitive,1998,1997,-1,4223,79.0,8.348537825386098,8.361680333311256,-0.013142507925158142,80.39999999999964,1.3999999999996362
Monica,F,sensitive,1998,1998,0,3229,105.0,8.080237416216702,8.387596005953306,-0.30735858973660335,78.40000000000055,-26.599999999999454
Monica,F,sensitive,1998,1999,1,2134,151.0,7.666221925662725,8.413511678595356,-0.7472897529326303,76.400000000001,-74.599999999999
Monica,F,sensitive,1998,2000,2,1992,167.0,7.597396320212795,8.439427351237406,-0.8420310310246109,74.40000000000146,-92.59999999999854
Monica,F,sensitive,1998,2001,3,1796,182.0,7.493873886783559,8.465343023879456,-0.9714691370958963,72.40000000000191,-109.59999999999809
Monica,F,sensitive,1998,2002,4,1778,180.0,7.483806687665835,8.491258696521506,-1.0074520088556707,70.40000000000236,-109.59999999999764
Monica,F,sensitive,1998,2003,5,1613,207.0,7.3864708488298945,8.517174369163556,-1.130703520333661,68.40000000000282,-138.59999999999718
Katrina,F,sensitive,2005,2000,-5,1356,236.0,7.213031659834869,7.178736193148481,0.03429546668638839,241.8000000000029,5.80000000000291
Katrina,F,sensitive,2005,2001,-4,1277,251.0,7.15305163493748,7.1387705493828975,0.014281085554582518,253.10000000000218,2.100000000002183
Katrina,F,sensitive,2005,2002,-3,1115,280.0,7.017506142941256,7.098804905617314,-0.08129876267605773,264.40000000000146,-15.599999999998545
Katrina,F,sensitive,2005,2003,-2,1142,274.0,7.04141166379481,7.058839261851716,-0.017427598056905858,275.7000000000007,1.7000000000007276
Katrina,F,sensitive,2005,2004,-1,1174,281.0,7.069023426578259,7.018873618086133,0.0501498084921268,287.0,6.0
Katrina,F,sensitive,2005,2005,0,1328,246.0,7.192182058713246,6.978907974320549,0.21327408439269657,298.2999999999993,52.29999999999927
Katrina,F,sensitive,2005,2006,1,855,379.0,6.752270376141742,6.938942330554966,-0.1866719544132236,309.59999999999854,-69.40000000000146
Katrina,F,sensitive,2005,2007,2,505,592.0,6.226536669287466,6.898976686789368,-0.6724400175019021,320.8999999999978,-271.1000000000022
Katrina,F,sensitive,2005,2008,3,420,710.0,6.042632833682381,6.859011043023784,-0.8163782093414031,332.2000000000007,-377.7999999999993
Katrina,F,sensitive,2005,2009,4,347,813.0,5.8522024797744745,6.819045399258201,-0.9668429194837262,343.5,-469.5
Katrina,F,sensitive,2005,2010,5,314,854.0,5.752572638825633,6.779079755492617,-1.0265071166669841,354.7999999999993,-499.2000000000007
Ellen,F,sensitive,1997,1992,-5,1335,217.0,7.197435354096591,7.215165223776744,-0.017729869680152888,211.4000000000051,-5.599999999994907
Ellen,F,sensitive,1997,1993,-4,1305,216.0,7.174724309836376,7.186853664362928,-0.01212935452655195,216.40000000000327,0.4000000000032742
Ellen,F,sensitive,1997,1994,-3,1322,217.0,7.187657164114956,7.15854210494912,0.029115059165835788,221.40000000000146,4.400000000001455
Ellen,F,sensitive,1997,1995,-2,1311,214.0,7.179307969504034,7.130230545535312,0.049077423968721945,226.40000000000146,12.400000000001455
Ellen,F,sensitive,1997,1996,-1,1156,243.0,7.053585727193677,7.101918986121497,-0.04833325892782003,231.39999999999964,-11.600000000000364
Ellen,F,sensitive,1997,1997,0,812,345.0,6.70073110954781,7.073607426707689,-0.37287631715987857,236.39999999999782,-108.60000000000218
Ellen,F,sensitive,1997,1998,1,622,426.0,6.434546518787453,7.045295867293881,-0.6107493485064275,241.399999999996,-184.600000000004
